person,job,position
"Joseph Bae","Co-President and Co-Chief Operating Officer, Kohlberg Kravis Roberts & Co., USA","Level 1Top Executive"
"Sebastián Bagó","Chief Executive Officer, Grupo Bagó, Argentina","Level 1Top Executive"
"Rahul Bajaj","Chairman, Bajaj Auto, India","Level 1Top Executive"
"Douglas M. Baker Jr","Chairman and Chief Executive Officer, Ecolab, USA","Level 1Top Executive"
"Peter Bakker","President and Chief Executive Officer, World Business Council for Sustainable Development (WBCSD), Switzerland","Level 1Top Executive"
"Anindya Novyan Bakrie","CEO, President Director, Bakrie & Brothers, Indonesia","Level 1Top Executive"
"Krishan N. Balendra","Chairman, John Keells Holdings, Sri Lanka","Level 1Top Executive"
"Stéphane Bancel","Chief Executive Officer, Moderna Therapeutics, USA","Level 1Top Executive"
"Ajay S. Banga","President and Chief Executive Officer, Mastercard, USA","Level 1Top Executive"
"Lord Barker of Battle","Executive Chairman of the Board of Directors, En+ Group, Russian Federation","Level 1Top Executive"
"Matt Barnard","Chief Executive Officer, Plenty, USA","Level 1Top Executive"
"Roger Barnett","Chairman and Chief Executive Officer, Shaklee, USA","Level 1Top Executive"
"His All-Holiness Patriarch Bartholomew","Archbishop of Constantinople-New Rome and Ecumenical Patriarch","Level 1Top Executive"
"Farouk A A Bastaki","Managing Director",""
"Werner Baumann","Chairman of the Board of Management",""
"Felipe Bayón","Chief Executive Officer, Ecopetrol, Colombia","Level 1Top Executive"
"Ross Beaty","Chairman, Pan American Silver, Canada","Level 1Top Executive"
"John M. Beck","Executive Chairman, Aecon Group, Canada","Level 1Top Executive"
"Beh Swan Gin","Chairman, Singapore Economic Development Board, Singapore","Level 1Top Executive"
"Alain Bejjani","Chief Executive Officer, Majid Al Futtaim, United Arab Emirates","Level 1Top Executive"
"Daniel Belfer","Chief Executive Officer, Bank J. Safra Sarasin, Switzerland","Level 1Top Executive"
"Alan Belfield","Chairman, Arup Group, United Kingdom","Level 1Top Executive"
"Hazem Ben-Gacem","Co-Chief Executive Officer, Investcorp, Bahrain","Level 1Top Executive"
"Gary Bencheghib","Founder, Make A Change World, Indonesia","Level 1Top Executive"
"Marc Benioff","Chairman and Co-Chief Executive Officer, Salesforce, USA","Level 1Top Executive"
"Amanda Bennett","Director, Voice of America, USA","Level 1Top Executive"
"Dick Benschop","President and Chief Executive Officer, Royal Schiphol Group, Netherlands","Level 1Top Executive"
"Stanley M. Bergman","Chairman of the Board and Chief Executive Officer, Henry Schein, USA","Level 1Top Executive"
"Seth F. Berkley","Chief Executive Officer, Gavi, the Vaccine Alliance, Geneva","Level 1Top Executive"
"Lysa John Berna","Secretary-General, Civicus: World Alliance for Citizen Participation, South Africa","Level 1Top Executive"
"Afsaneh Mashayekhi Beschloss","Founder and Chief Executive Officer, RockCreek, USA","Level 1Top Executive"
"Ulrich L. Bettermann","President and Chairman of the Board, OBO Bettermann, Germany","Level 1Top Executive"
"Aneel Bhusri","Co-Founder and Chief Executive Officer, Workday, USA","Level 1Top Executive"
"Jeroo Billimoria","Founder, One Family Foundation, Netherlands","Level 1Top Executive"
"Mohammed Bin Mahfoodh Bin Saad Al Ardhi","Executive Chairman, Investcorp, Bahrain","Level 1Top Executive"
"Hakan Binbasgil","Chief Executive Officer and Member of the Board, Akbank, Turkey","Level 1Top Executive"
"Kumar M. Birla","Group Chairman, Aditya Birla Group, India","Level 1Top Executive"
"Marco Bizzarri","Chief Executive Officer, Guccio Gucci, Italy","Level 1Top Executive"
"Kurt Bjorklund","Co-Managing Partner, Permira Advisers, United Kingdom","Level 1Top Executive"
"Dominic Blakemore","Chief Executive Officer, Compass Group, United Kingdom","Level 1Top Executive"
"Keith Block","Co-Chief Executive Officer, Salesforce, USA","Level 1Top Executive"
"Henry Blodget","Chief Executive Officer and Editor-in-Chief, Business Insider, USA","Level 1Top Executive"
"Kathy Bloomgarden","Chief Executive Officer, Ruder Finn, USA","Level 1Top Executive"
"Allen Blue","Co-Founder and Vice-President, Products, LinkedIn, USA","Level 1Top Executive"
"Zachary Bogue","Managing Partner, Data Collective, USA","Level 1Top Executive"
"Yannick Bolloré","Chairman of the Supervisory Board, Vivendi, France","Level 1Top Executive"
"Christel Bories","Chairman and Chief Executive Officer, Eramet, France","Level 1Top Executive"
"Candido Botelho Bracher","Chief Executive Officer, Itaú Unibanco, Brazil","Level 1Top Executive"
"Ana Botín","Group Executive Chairman, Banco Santander, Spain","Level 1Top Executive"
"Kjerstin Braathen","Chief Executive Officer, DNB, Norway","Level 1Top Executive"
"Sigve Brekke","President and Chief Executive Officer, Telenor Group, Norway","Level 1Top Executive"
"Marcus Brennecke","Managing Partner",""
"Heather Bresch","Chief Executive Officer, Mylan, USA","Level 1Top Executive"
"Jim Breyer","Founder and Chief Executive Officer, Breyer Capital, USA","Level 1Top Executive"
"Carlos Brito","Chief Executive Officer, Anheuser-Busch InBev, Belgium","Level 1Top Executive"
"Jesper Brodin","Chief Executive Officer, IKEA Retail (Ingka Group), Netherlands","Level 1Top Executive"
"William F. Browder","Chief Executive Officer, Hermitage Capital Management, United Kingdom","Level 1Top Executive"
"Mike Brown","Chief Executive, Nedbank Group, South Africa","Level 1Top Executive"
"Nancy Brown","Chief Executive Officer, American Heart Association, USA","Level 1Top Executive"
"Martin Brudermüller","Chairman of the Board of Executive Directors and Chief Technology Officer, BASF, Germany","Level 1Top Executive"
"Amjad Bseisu","Chief Executive, EnQuest, United Kingdom","Level 1Top Executive"
"Thomas Buberl","Chief Executive Officer, AXA, France","Level 1Top Executive"
"Fares Bugshan","Vice-Chairman, Saudi Bugshan, Saudi Arabia","Level 1Top Executive"
"Alejandro P. Bulgheroni","Chairman, Pan American Energy, Argentina","Level 1Top Executive"
"Marcos Bulgheroni","Chief Executive Officer, Pan American Energy, Argentina","Level 1Top Executive"
"Sharan Burrow","General Secretary, International Trade Union Confederation (ITUC), Belgium","Level 1Top Executive"
"Jane Burston","Executive Director, Clean Air Fund, United Kingdom","Level 1Top Executive"
"Martin Burt","Founder and Chief Executive Officer, Fundación Paraguaya, Paraguay","Level 1Top Executive"
"Oliver Bäte","Chief Executive Officer, Allianz, Germany","Level 1Top Executive"
"Pascal Cagni","Ambassador of France for International Investment",""
"Cai Mingpo","Founder and President, Cathay Capital Private Equity, France","Level 1Top Executive"
"Francesco Caio","Chairman, Saipem, Italy","Level 1Top Executive"
"Levent Cakiroglu","Chief Executive Officer, Koç Holding, Turkey","Level 1Top Executive"
"Ed Camara","Chief Executive Officer, Egon Zehnder International, Switzerland","Level 1Top Executive"
"David Cameron","Prime Minister of the United Kingdom (2010-2016)",""
"Bertrand Camus","Chief Executive Officer, SUEZ, France","Level 1Top Executive"
"Demetrio Carceller Arce","Executive Chairman and Chief Executive Officer, Disa, Spain","Level 1Top Executive"
"Roger Carr","Chairman, BAE Systems, United Kingdom","Level 1Top Executive"
"Caroline Casey","Founder and Director, Valuable 500, Ireland","Level 1Top Executive"
"Marc N. Casper","President and Chief Executive Officer, Thermo Fisher Scientific, USA","Level 1Top Executive"
"Laura M. Cha","Chairman, Hong Kong Exchanges and Clearing (HKEx), Hong Kong SAR, China","Level 1Top Executive"
"Chaiwat Kovavisarach","President and Chief Executive Officer, Bangchak, Thailand","Level 1Top Executive"
"Natarajan Chandrasekaran","Chairman, Tata Consultancy Services, India","Level 1Top Executive"
"Chang Dae-Whan","Chairman and Publisher, Maekyung Media Group, Republic of Korea","Level 1Top Executive"
"Chang Seung-Joon","Chief Executive Officer, Maekyung Media Group, Republic of Korea","Level 1Top Executive"
"Chansin Treenuchagron","Chief Executive Officer, PTT, Thailand","Level 1Top Executive"
"Bernard Charlès","Vice-Chairman and Chief Executive Officer, Dassault Systèmes, France","Level 1Top Executive"
"Jean-Louis Chaussade","Chairman, SUEZ, France","Level 1Top Executive"
"Milton Cheng","Global Chair, Baker McKenzie, USA","Level 1Top Executive"
"Jonathan Cherki","Founder and Chief Executive Officer, Contentsquare, France","Level 1Top Executive"
"Chew Shou Zi","Chief Financial Officer and President, International, Xiaomi, People's Republic of China","Level 1Top Executive"
"Chey Tae-Won","Chairman and Chief Executive Officer, SK Group, Republic of Korea","Level 1Top Executive"
"David Chiu","Chairman",""
"H. S. Cho","President, Hyosung Group, Republic of Korea","Level 1Top Executive"
"Calvin Choi","Chairman and President, AMTD, Hong Kong SAR, China","Level 1Top Executive"
"Tejpreet Singh Chopra","Founder and Chief Executive Officer, Bharat Light & Power (BLP), India","Level 1Top Executive"
"Niels B. Christiansen","Chief Executive Officer, LEGO Group, Denmark","Level 1Top Executive"
"Victor L. L. Chu","Chairman and Chief Executive Officer, First Eastern Investment Group, Hong Kong SAR, China","Level 1Top Executive"
"Anatoly B. Chubays","Chief Executive Officer, RUSNANO, Russian Federation","Level 1Top Executive"
"Chung Euisun","Executive Vice-Chairman, Hyundai Motor, Republic of Korea","Level 1Top Executive"
"Sanford Climan","President, Entertainment Media Ventures, USA","Level 1Top Executive"
"Boris Collardi","Managing Partner, Pictet Group, Switzerland","Level 1Top Executive"
"Steve Collis","Chairman, President and Chief Executive Officer, AmeriSourceBergen, USA","Level 1Top Executive"
"Veronica Colondam","Founder and Chief Executive Officer, YCAB Foundation, Indonesia","Level 1Top Executive"
"Patrick Combes","Chairman, Compagnie Financière Tradition, Switzerland","Level 1Top Executive"
"Iain Conn","Group Chief Executive, Centrica, United Kingdom","Level 1Top Executive"
"Timothy D. Cook","Chief Executive Officer, Apple, USA","Level 1Top Executive"
"David Coppel Calvo","Chief Executive Officer, Coppel, Mexico","Level 1Top Executive"
"Michael Corbat","Chief Executive Officer, Citigroup, Citi, USA","Level 1Top Executive"
"Philippe Corrot","Co-Founder and Chief Executive Officer, Mirakl, France","Level 1Top Executive"
"Stephen Cotton","General Secretary, International Transport Workers' Federation (ITF), United Kingdom","Level 1Top Executive"
"Jim Coulter","Co-Founder",""
"Elizabeth Cousens","President and Chief Executive Officer, United Nations Foundation, USA","Level 1Top Executive"
"David Craig","Chief Executive Officer, Refinitiv, United Kingdom","Level 1Top Executive"
"Gerhard Cromme","Chairman of the Advisory Board, Aroundtown, Luxembourg","Level 1Top Executive"
"Frans Cronje","Co-Founder and Chief Executive Officer, DataProphet, South Africa","Level 1Top Executive"
"Cui Weixing","Chairman, Deppon Logistics, People's Republic of China","Level 1Top Executive"
"Stacey Cunningham","President and Chief Executive Officer, NYSE, USA","Level 1Top Executive"
"Ray Dalio","Founder, Co-Chairman and Co-Chief Investment Officer, Bridgewater Associates, USA","Level 1Top Executive"
"Gautam Dalmia","Managing Director, Dalmia Bharat, India","Level 1Top Executive"
"Kommer Damen","Chairman, Damen Shipyards Group, Netherlands","Level 1Top Executive"
"Mazen S. Darwazeh","Executive Vice-Chairman",""
"Hussain Dawood","Group Chairman, Dawood Hercules, Pakistan","Level 1Top Executive"
"Asha De Vos","Founder and Executive Director, Oceanswell, Sri Lanka","Level 1Top Executive"
"Mike DeNoma","Chief Executive Officer, Kanbawza Bank (KBZ), Myanmar","Level 1Top Executive"
"Thomas DeRosa","Chairman and Chief Executive Officer, Welltower, USA","Level 1Top Executive"
"Jean-François Decaux","Co-Chief Executive Officer, JCDecaux, United Kingdom","Level 1Top Executive"
"Alain Dehaze","Chief Executive Officer, Adecco Group, Switzerland","Level 1Top Executive"
"Rafael del Pino","Executive Chairman, Ferrovial, Spain","Level 1Top Executive"
"Ron Delia","Managing Director and Chief Executive Officer, Amcor, Switzerland","Level 1Top Executive"
"Michael S. Dell","Chairman and Chief Executive Officer, Dell Technologies, USA","Level 1Top Executive"
"Steve Demetriou","Chair and Chief Executive Officer, Jacobs, USA","Level 1Top Executive"
"Spencer Deng","Chief Executive Officer and Co-Founder, Dorabot, People's Republic of China","Level 1Top Executive"
"Volkmar Denner","Chairman of the Board of Management, Robert Bosch, Germany","Level 1Top Executive"
"John W.H. Denton","Secretary-General, International Chamber of Commerce (ICC), France","Level 1Top Executive"
"Oleg V. Deripaska","Founder, Volnoe Delo Foundation, Russian Federation","Level 1Top Executive"
"Carmine Di Sibio","Global Chairman and Chief Executive Officer, EY, United Kingdom","Level 1Top Executive"
"Herbert Diess","Chief Executive Officer, Volkswagen Group, Germany","Level 1Top Executive"
"Jos Dijsselhof","Group Chief Executive Officer, SIX Group, Switzerland","Level 1Top Executive"
"Robert L. Dilenschneider","President and Chief Executive Officer, Dilenschneider Group, USA","Level 1Top Executive"
"James Dimon","Chairman and Chief Executive Officer, JPMorgan Chase & Co., USA","Level 1Top Executive"
"Patrick Khulekani Dlamini","Chief Executive Officer and Managing Director, Development Bank of Southern Africa, South Africa","Level 1Top Executive"
"Kirill Dmitriev","Chief Executive Officer, Russian Direct Investment Fund, Russian Federation","Level 1Top Executive"
"Stefan Doboczky","Chief Executive Officer, Lenzing Group, Austria","Level 1Top Executive"
"Victor Dodig","President and Chief Executive Officer, Canadian Imperial Bank of Commerce (CIBC), Canada","Level 1Top Executive"
"Hanzade Dogan Boyner","Chairwoman, Hepsiburada, Turkey","Level 1Top Executive"
"Edward Lawrence Doheny","Chief Executive Officer, Sealed Air, USA","Level 1Top Executive"
"Philippe Roger Donnet","Group Chief Executive Officer, Generali, Italy","Level 1Top Executive"
"Dorit Dor","Vice-President, Products, Check Point Software Technologies, Israel","Level 1Top Executive"
"Victor Dosoretz","Permanent Director and Treasurer, Camara Argentina de Comercio (CAC), Argentina","Level 1Top Executive"
"Wiebe Draijer","Chairman of the Managing Board, Rabobank, Netherlands","Level 1Top Executive"
"Robert Dudley","Group Chief Executive, BP, United Kingdom","Level 1Top Executive"
"Miroslava Duma","Chief Executive Officer and Founder, Future Tech Lab, Pangaia, United Kingdom","Level 1Top Executive"
"Marco Dunand","Chief Executive Officer, Mercuria Energy Group, Switzerland","Level 1Top Executive"
"Brian Duperreault","Chief Executive Officer, AIG, USA","Level 1Top Executive"
"Rajkumar Duraiswamy","Chairman and Managing Director, Bharat Petroleum, India","Level 1Top Executive"
"Thierry Déau","Chief Executive Officer, Meridiam, France","Level 1Top Executive"
"Richard W. Edelman","Chief Executive Officer, Edelman, USA","Level 1Top Executive"
"David Edwards","General Secretary, Education International, Belgium","Level 1Top Executive"
"Ian Leslie Edwards","Chief Executive Officer, SNC-Lavalin Group, Canada","Level 1Top Executive"
"Annalise Eggimann","Chief Executive Officer, Innosuisse, Switzerland","Level 1Top Executive"
"John Ehara","Partner, Unison Capital, Japan","Level 1Top Executive"
"Mark Ein","Founder and Chief Executive Officer, Venturehouse Group, USA","Level 1Top Executive"
"Börje Ekholm","President and Chief Executive Officer, Ericsson, Sweden","Level 1Top Executive"
"Karim El Chiaty","Vice-Chairman, Travco Group International, Egypt","Level 1Top Executive"
"Jamil El Khazen","Chief Executive Officer, Jamyco Holding, Switzerland","Level 1Top Executive"
"Johan Eliasch","Chairman and Chief Executive Officer, Head, United Kingdom","Level 1Top Executive"
"Eduardo S. Elsztain","Chairman, IRSA Inversiones y Representaciones, Argentina","Level 1Top Executive"
"Tony O. Elumelu","Chairman, UBA Group, Nigeria","Level 1Top Executive"
"Emeka Emuwa","Chief Executive Officer, Union Bank of Nigeria, Nigeria","Level 1Top Executive"
"Nobuhiro Endo","Chairman of the Board, NEC, Japan","Level 1Top Executive"
"José Manuel Entrecanales Domecq","Chairman and Chief Executive Officer, Acciona, Spain","Level 1Top Executive"
"Øyvind Eriksen","President and Chief Executive Officer, Aker, Norway","Level 1Top Executive"
"Murat Erkan","Chief Executive Officer, Turkcell Iletisim Hizmetleri, Turkey","Level 1Top Executive"
"Sergio P. Ermotti","Group Chief Executive Officer, UBS, Switzerland","Level 1Top Executive"
"Hikmet Ersek","President and Chief Executive Officer, Western Union, USA","Level 1Top Executive"
"André Esteves","Senior Partner, Banco BTG Pactual, Brazil","Level 1Top Executive"
"Martin Eurnekian","Chief Executive Officer, Corporacion America, Argentina","Level 1Top Executive"
"Carolyn Fairbairn","Director-General, Confederation of British Industry (CBI), United Kingdom","Level 1Top Executive"
"Jeremy Farrar","Director, Wellcome Trust, United Kingdom","Level 1Top Executive"
"Gianrico Farrugia","President and Chief Executive Officer, Mayo Clinic, USA","Level 1Top Executive"
"Rayan Fayez","Managing Director and Chief Executive Officer, Banque Saudi Fransi (BSF), Saudi Arabia","Level 1Top Executive"
"Michael Federle","Chief Executive Officer, Forbes, USA","Level 1Top Executive"
"Grigory Fedorishin","Chief Executive Officer, Novolipetsk Steel (NLMK), Russian Federation","Level 1Top Executive"
"Álvaro Fernández Garza","Chief Executive Officer, Alfa, Mexico","Level 1Top Executive"
"Wilson Ferreira Júnior","Chief Executive Officer, Eletrobras, Brazil","Level 1Top Executive"
"Delia Ferreira Rubio","Chair, Transparency International, Germany","Level 1Top Executive"
"Christiana Figueres","Founding Partner, Global Optimism, United Kingdom","Level 1Top Executive"
"Laurence D. Fink","Chairman and Chief Executive Officer, BlackRock, USA","Level 1Top Executive"
"Roland Fischer","Group Chief Executive Officer, Oerlikon, Switzerland","Level 1Top Executive"
"Jim Fitterling","Chief Executive Officer, Dow, USA","Level 1Top Executive"
"Emma FitzGerald","Chief Executive Officer, Puma Energy, Switzerland","Level 1Top Executive"
"Martin L. Flanagan","President and Chief Executive Officer, Invesco, USA","Level 1Top Executive"
"Jay Flatley","Executive Chairman, Illumina, USA","Level 1Top Executive"
"Gloria Fluxa Thienemann","Vice-Chairman and Chief Sustainability Officer, Iberostar Group, Spain","Level 1Top Executive"
"Sabina Fluxá Thienemann","Vice-Chairman and Chief Executive Officer, Iberostar Group, Spain","Level 1Top Executive"
"Bo Foged","Chief Executive Officer, ATP, Denmark","Level 1Top Executive"
"William Ford","Chief Executive Officer, General Atlantic, USA","Level 1Top Executive"
"Andras Forgacs","Chief Executive Officer, Modern Meadow, USA","Level 1Top Executive"
"Kerstin Forsberg","Founder and Director, Planeta Océano, Peru","Level 1Top Executive"
"Christoph Franz","Chairman, Roche, Switzerland","Level 1Top Executive"
"André François-Poncet","Group Chief Executive Officer, Wendel, France","Level 1Top Executive"
"Simon Freakley","Chief Executive Officer, AlixPartners, USA","Level 1Top Executive"
"Jacob A. Frenkel","Chairman of the Board of Trustees, Group of Thirty (G30), USA","Level 1Top Executive"
"Rainer-Marc Frey","Chairman, Horizon21, Switzerland","Level 1Top Executive"
"Peter Friedli","President, Friedli Corporate Finance, Switzerland","Level 1Top Executive"
"Hanan Friedman","Chief Executive Officer, Bank Leumi Le-Israel, Israel","Level 1Top Executive"
"Adena Friedman","President and Chief Executive Officer, Nasdaq, USA","Level 1Top Executive"
"Joshua S. Friedman","Co-Founder, Co-Chairman and Co-Chief Executive Officer, Canyon Partners, USA","Level 1Top Executive"
"Michael T. Fries","Chief Executive Officer, Liberty Global, USA","Level 1Top Executive"
"Ric Fulop","Chief Executive Officer and Co-Founder, Desktop Metal, USA","Level 1Top Executive"
"Yoichi Funabashi","Chairman, Asia Pacific Initiative, Japan","Level 1Top Executive"
"Zev Furst","Chairman and Chief Executive Officer, First International Resources, USA","Level 1Top Executive"
"J. Erik Fyrwald","Chief Executive Officer, Syngenta Group, Syngenta, Switzerland","Level 1Top Executive"
"M. Shafik Gabr","Chairman and Managing Director, ARTOC Group for Investment and Development, Egypt","Level 1Top Executive"
"Sridhar Gadhi","Founder and Chief Executive Officer, Quantela, USA","Level 1Top Executive"
"Orit Gadiesh","Chairman, Bain & Company, United Kingdom","Level 1Top Executive"
"Brian Gallagher","President and Chief Executive Officer, United Way Worldwide, USA","Level 1Top Executive"
"Ignacio Garcia Alves","Global Chairman and Chief Executive Officer, Arthur D. Little, France","Level 1Top Executive"
"David Garfield","Chief Executive Officer and Co-Founder, Garrison, United Kingdom","Level 1Top Executive"
"Robert C. Garrett","Chief Executive Officer, Hackensack Meridian Health, USA","Level 1Top Executive"
"Katherine Garrett-Cox","Chief Executive Officer, Gulf International Bank (UK), United Kingdom","Level 1Top Executive"
"Pascal Gauthier","Chief Executive Officer, Ledger, France","Level 1Top Executive"
"Pat Gelsinger","Chief Executive Officer, VMware, USA","Level 1Top Executive"
"Onur Genç","Chief Executive Officer, BBVA, Spain","Level 1Top Executive"
"Patrick J. Geraghty","President and Chief Executive Officer, GuideWell, USA","Level 1Top Executive"
"Stephane Germain","President and Chief Executive Officer, GHGSat, Canada","Level 1Top Executive"
"Jean-Marc Germain","Chief Executive Officer, Constellium, France","Level 1Top Executive"
"Sasan Ghandehari","Protector and Chief Adviser, HP Trust, United Kingdom","Level 1Top Executive"
"Fadi Ghandour","Executive Chairman, Wamda Capital, United Arab Emirates","Level 1Top Executive"
"Don Gips","Chief Executive Officer, Skoll Foundation, USA","Level 1Top Executive"
"Ivan Glasenberg","Chief Executive Officer, Glencore, Switzerland","Level 1Top Executive"
"Daniel Glaser","President and Chief Executive Officer, Marsh & McLennan, USA","Level 1Top Executive"
"Dipali Goenka","Chief Executive Officer and Joint Managing Director, Welspun India, India","Level 1Top Executive"
"Blaise Goetschin","Chief Executive Officer, Swiss Bank of Geneva (BCGE), Switzerland","Level 1Top Executive"
"Timothy Gokey","President and Chief Executive Officer, Broadridge Financial Solutions, USA","Level 1Top Executive"
"Kenneth Goldman","President, Hillspire, USA","Level 1Top Executive"
"Pinchas Goldschmidt","Chief Rabbi and President, Conference of European Rabbis, Russian Federation","Level 1Top Executive"
