name,meta
"Alberto Alemanno","Founder and Director, The Good Lobby AISBL, France"
"Samuel Alemayehu","Managing Director, Cambridge Industries, USA"
"Erica Alessandri","Member of the Board, Technogym, Italy"
"Laura Alfaro","Professor, Business, Government and International Economy Unit, Harvard Business School, USA"
"Omar K. Alghanim","Board Member, Gulf Bank, Kuwait"
"Lamya AlHaj","Associate Professor, Sultan Qaboos University, Oman"
"Ahmed Ali Al-Hammadi","Head, Active Investments, Qatar Investment Authority, Qatar"
"Mohamed Al Hashemi","Country Head, Majid Al Futtaim, United Arab Emirates"
"Imtiaz Ali","Researcher, Analyst and Fellow, Institute for Social Policy and Understanding (ISPU), USA"
"Saleem Ali","Distinguished Professor of Energy and the Environment, University of Delaware, USA"
"Samar Ali","President and Chief Executive Officer, Millions of Conversations, USA"
"Faisal Alibrahim","Minister of Economy and Planning, Ministry of Economy and Planning of Saudi Arabia, Saudi Arabia"
"Osayi Alile","Chief Executive Officer, Aspire Coronation Trust (ACT) Foundation, Nigeria"
"Tunku Ali Redhauddin Tuanku Muhriz","Chairman and Founding Trustee, Teach For Malaysia, Malaysia"
"Eyad Alkassar","Chief Executive Officer, Rocket Internet ME, United Arab Emirates"
"Shaikh Mohammed Bin Essa Al Khalifa","Adviser for Political and Economic Affairs, Court of the Crown Prince of Bahrain, Bahrain"
"Khalid Alkhudair","Executive Vice-President, Riyad Bank, Saudi Arabia"
"Gassan Al-Kibsi","Chairman and Managing Partner, Middle East, McKinsey & Company LME Limited, United Arab Emirates"
"Natalia Allen","Founder and CEO, Natalia Inc., Spain"
"Patrick Allen","Vice-President; International Managing Editor, CNBC, United Kingdom"
"Omar Al-Madhi","Senior Managing Director and Member of the Board, Abdul Latif Jameel Investments, Saudi Arabia"
"Ibrahim AlMojel","Chief Executive Officer, Saudi Industrial Development Fund, Saudi Arabia"
"Razan Al Mubarak","Managing Director, Mohamed Bin Zayed Species Conservation Fund, United Arab Emirates"
"Naif Al Mutawa","Chief Executive Officer, The 99, Kuwait"
"Victoria Alonsoperez","Founder and Chief Executive Officer, Chipsafer, Uruguay"
"Mina Al-Oraibi","Editor-in-Chief, The National, United Arab Emirates"
"Suren Aloyan","Founder and Chief Executive Officer, Dasaran EdTech Company, Armenia"
"Elham Al Qasim","Chief Executive Officer, Digital14, United Arab Emirates"
"Bodour Al Qasimi","Chairperson, Sharjah Investment and Development Authority - Shurooq, United Arab Emirates"
"Sultan Sooud Al Qassemi","Founder, Barjeel Art Foundation, United Arab Emirates"
"Fahd Al-Rasheed","Chief Executive Officer, Royal Commission for Riyadh City, Saudi Arabia"
"Khaled Al Sabawi","Founder and Chief Executive Officer, Open Screenplay, Canada"
"Sarah Al Suhaimi","Chairperson of the Board of Directors, Saudi Stock Exchange (Tadawul), Saudi Arabia"
"Abdulla Bin Ali Al Thani","Managing Director; Member of the Board of Directors, Qatar Leadership Centre, Qatar"
"Alanoud Bint Hamad Al Thani","Managing Director, Business Development, Qatar Financial Centre (QFC), Qatar"
"Carlos Alvarado Quesada","President of Costa Rica, Costa Rica Government, Costa Rica"
"Heba Aly","CEO, The New Humanitarian, Switzerland"
"Thani Ahmed Al Zeyoudi","Minister of State for Foreign Trade, Ministry of Economy of the United Arab Emirates, United Arab Emirates"
"Salim Amin","Chairman, Camerapix, Kenya"
"Shauna Aminath","Minister of Environment, Climate Change and Technology, Ministry of Environment, Climate Change and Technology  of the Republic of Maldives, Maldives"
"Renato Amorim","Digital Member"
"Eric Anderson","Chairman, Planetary Holdings, USA"
"Matthew Anderson","Strategic Advisor, Lupa Systems, USA"
"Matthew Anestis","Managing Director; Global Head, Investment Performance for Alternatives, BlackRock, USA"
"Kalin Anev Janse","Member of the Management Board; Chief Financial Officer, European Stability Mechanism, Luxembourg"
"Bernise Ang","Chief Alchemist, Zeroth Labs, Singapore"
"Nikolina Angelkova","Member of the National Assembly of the Republic of Bulgaria, National Assembly of the Republic of Bulgaria, Bulgaria"
"Irina Anghel-Enescu","Managing Director, South Eastern European Private Equity and Venture Capital Association, Romania"
"Eleni Antoniadou","Researcher, NASA FDL, Singapore"
"Akudo Anyanwu","Vice President of Development, Texas Biomedical Research Institute, USA"
"Paolo Benigno Aquino IV","Co-Founder and President, Hapinoy, Philippines"
"Nathalia Arcuri","Founder/CEO, Me Poupe! Conteudo e Servicos Financeiros Eireli, Brazil"
"Jacinda Ardern","Prime Minister of New Zealand, New Zealand Government, New Zealand"
"Yara Argueta","Member of the Board, Mergers and Acquisitions and Expansion, Grupo Solid SA, Guatemala"
"Marisol Argueta de Barillas","Head of the Regional Agenda, Latin America; Member of the Executive Committee, World Economic Forum, USA"
"Riad Armanious","Chief Executive Officer, Eva Pharma, Egypt"
"Steve Arora","Chief Executive Officer, Axis Re Ltd, Switzerland"
"Pablo Arosemena","President, Chamber of Commerce of Guayaquil, Ecuador"
"Tewodros Ashenafi","Chairman and Chief Executive Officer, Southwest Holdings, Ethiopia"
"Iwao Aso","Group Chairman, ASO Corporation, Japan"
"Martin Aspillaga","Managing Director, Sociedad Gestora de Fondos de Inversión Salkantay Capital Partners, Peru"
"Solomon Assefa","Vice-President, IBM Research Africa, South Africa"
"Rima Assi","Managing Partner, Abu Dhabi; Senior Partner, McKinsey & Company LME Limited, United Arab Emirates"
"Bernardo Asuaje","Co-Founder and Managing Director, Grupo Attia (Colombia), Colombia"
"Christopher Ategeka","Founder and Chief Executive Officer, Startup Playbook, USA"
"Cherrie Atilano","Founder and Chief Executive Officer, Agrea, Philippines"
"Lera Auerbach","Artist, Austria"
"Ida Auken","Member of Parliament, Parliament of Denmark (Folketinget), Denmark"
"Lois Auta","Founder and Executive Director, Cedar Seed Foundation, Nigeria"
"Aditi Avasthi","Founder and Chief Executive Officer, Embibe, India"
"Gwenaelle Avice-Huet","Senior Vice President, Transformational Project, Global Strategy, Schneider Electric, USA"
"Ronit Avni","Founder and Chief Executive Officer, Localized, USA"
"Abayomi Awobokun","Chief Executive Officer, Enyo Retail & Supply, Nigeria"
"Asli Ay","Chief Investment Officer, Lioness Capital, USA"
"Nick Ayers","Managing Partner, Ayers Neugebauer & Co., USA"
"Dilek Ayhan","Special Adviser to the President and Management, BI Norwegian Business School, Norway"
"Dawood Azami","Editor, Multimedia, BBC World Service, United Kingdom"
"Muhammad Hammad Azhar","Minister for Energy, Ministry of Energy of Pakistan, Pakistan"
"Shiho Azuma","Chief Executive Officer, Lily MedTech Inc., Japan"
"Fatoumata Ba","Founder and Executive Chair, Janngo, Côte d'Ivoire"
"Gina Badenoch","Founder, Capaxia UK, United Kingdom"
"Zulfikar Ali Bader","Chief Executive Officer, Jehangir Bader Institute of Vision and Leadership (JBIVL), Pakistan"
"Annalena Baerbock","Party Co-Leader, Alliance 90/The Greens, Germany, Alliance 90/The Greens, Germany"
"Rodrigo Baggio","President and Founder, RECODE, Brazil"
"Vincent W. Bagiire","Permanent Secretary, Ministry of Information and Communications Technology, Uganda Government, Uganda"
"Zubaida Bai","Managing Director, CARE Social Ventures, USA"
"Priyanka Bakaya","N, Renew Oceans, USA"
"Angela Baker","Head, Corporate Responsibility, Qualcomm, USA"
"Mamuka Bakhtadze","Prime Minister of Georgia (2018 - 2019), Office of the Prime Minister of Georgia, Georgia"
"Loulwa Bakr","Senior Partner, Chrome Advisory, Saudi Arabia"
"Miranda A. Ballentine","CEO, Renewable Energy Buyers Alliance, USA"
"Daniella Ballou-Aares","Chief Executive Officer, Leadership Now Project, USA"
"H.R.H. Princess Reema Bint Bandar Al-Saud","Ambassador of Saudi Arabia to the United States, Embassy of Saudi Arabia, USA"
"Kingsley Bangwell","Founder, Youngstars Foundation, Nigeria"
"Jean-Jacques Barbéris","Member of the Executive Committee; Co-Head, Institutional Clients Coverage, Amundi Asset Management, France"
"Rye Barcott","Co-Founder and CEO, With Honor, USA"
"Elena Barmakova","Chairman of the Board, Fontvieille Capital Inc., USA"
"Pablo Alberto Barrera Lopez","Executive Vice-President, Strategy and Communications, Yara International, Norway"
"Maria Bartiromo","Anchor and Global Markets Editor, Fox Business Network, USA"
"Katinka Barysch","Senior Strategist, Allianz, Germany"
"Ruzwana Bashir","Founder and Chief Executive Officer, Peek.com, USA"
"Andrew Bastawrous","Founder and Chief Executive Officer, Peek Vision, United Kingdom"
"Anies Rasyid Baswedan","Governor of Jakarta, Jakarta Capital City Government, Indonesia"
"Zolzaya Batkhuyag","Co-Founder, Advisor and Board, Women for Change, Mongolia"
"Candice Beaumont","Chief Investment Officer, L Investments, USA"
"Christophe Beck","Chief Executive Officer, Ecolab, USA"
"Terry Beech","Member of Parliament; Parliamentary Secretary, Department of Fisheries, Oceans and the Canadian Coast Guard, Parliament of Canada, Canada"
"Eli Beer","Founder and President, United Hatzalah of Israel, Israel"
"Brian Behlendorf","Executive Director, Hyperledger, Linux Foundation, USA"
"Georgie Benardete","Chief Executive Officer and Co-Founder, Align17, USA"
"Dan Berelowitz","Chief Executive Officer and Founder, Spring Impact, USA"
"Barbara Ann Bernard","Founder and Chief Investment Officer, Wincrest Capital Ltd, Bahamas"
"Mohamed Alami Berrada","General Manager, Yasmine Orfèvres de l'immobilier, Morocco"
"Caroline Berube","Managing Partner, HJM Asia Law and Co. LLC, Singapore"
"Katharina Beumelburg","Senior Vice-President, Transmission Services, Siemens Energy, Siemens, Germany"
"Danae Bezantakou","Chief Executive Officer, Navigator Shipping Consultants Ltd, Greece"
"Neeraj Bharadwaj","Managing Director, Carlyle India Advisors Pvt. Ltd, India"
"Rwitwika Bhattacharya-Agarwal","Founder and Chief Executive Officer, Swaniti Initiative, India"
"Salvador Biguria","Managing Partner, Grupo IDC, Guatemala"
"Diane Binder","Founding Partner, Regenopolis, France"
"Syed Saddiq bin Syed Abdul Rahman","Member of Parliament, Parliament of Malaysia, Malaysia"
"Noura Al Kaabi","Minister of Culture and Youth, United Arab Emirates Government, United Arab Emirates"
"Sarah bint Yousif Al-Amiri","Minister of State for Advanced Technology, Ministry of Industry and Advanced Technology of the United Arab Emirates, United Arab Emirates"
"Adam C. Bird","Director, McKinsey & Company, Germany"
"Peter Bisanz","Adviser, GHR Foundation, USA"
"Cristina Bitar","Senior Partner and President, Azerta, Chile"
"Oana Bizgan-Gayral","Member of Parliament, Parliament of Romania, Romania"
"Thor Björgolfsson","Chairman, Novator Partners LLP, United Kingdom"
"Jimena Blázquez Abascal","Director, NMAC Foundation, Spain"
"David J. Blumer","Senior Managing Director, Head of Europe, Middle East and Africa, BlackRock Investment Managment UK Ltd, United Kingdom"
"Giulio Boccaletti","Chief Strategy Officer, The Nature Conservancy, United Kingdom"
"Ketevan Bochorishvili","Chief Executive Officer, JSC Anaklia City, Georgia"
"Jesmane Boggenpoel","Director, ETG Holdings, Export Trading Group (ETG), South Africa"
"Zachary Bogue","Managing Partner, Data Collective, USA"
"Bunty Bohra","Chief Executive Officer, b101ogic, Singapore"
"Maleeka Bokhari","Parliamentary Secretary for Law and Justice, Ministry of Law and Justice of Pakistan, Pakistan"
"Srikanth Bolla","Founder & Chief Executive Officer, Bollant Industries Pvt Ltd, India"
"Julie Bonamy","CEO, Indonesia, Malaysia and Singapore, Saint-Gobain (Singapore) Pte. Ltd., Singapore"
"Alexis Bonte","Co-Founder and Chief Executive Officer, eRepublik Labs Ltd, Spain"
"Claire Boonstra","Founder, Operation Education, Netherlands"
"Roongchat Boonyarat","Director, Chief Executive & Operating Officer, Malee Group PCL, Thailand"
"Katharina Borchert","YGL Alumna, USA"
"Ruba Borno","Senior Vice President / General Manager, CX Centers and Managed Services, Cisco, USA"
"Christoph Bornschein","Chief Executive Officer, TLGG, Germany"
"Caroline Boudreaux","Founder, The Miracle Foundation, USA"
"Devry Boughner Vorwerk","Founder & Chief Executive Officer, DevryBV Sustainable Strategies, LLC, USA"
"Geoffrey Bouquot","Group Vice-President, Corporate Strategy and External Relations, Valeo, France"
"danah boyd","Partner Researcher, Microsoft Research, United Kingdom"
"Kieron Boyle","Chief Executive, Guy's and St Thomas' Charity, United Kingdom"
"Anu Bradford","Professor of Law, Columbia Law School, USA"
"Andrew Bragg","Senator for New South Wales, Parliament of the Commonwealth of Australia, Australia"
"Kate Brandt","Sustainability Officer, Google, USA"
"Alejandro Brenes","Co-Founder and Chief Executive Officer, Enertiva, Costa Rica"
"Scott Brison","Vice-Chair, Investment & Corporate Banking, BMO Financial Group, Canada"
"Martin Bruncko","Chief Executive Officer, Lacaze Ltd, United Kingdom"
"Thomas Buberl","Chief Executive Officer, AXA, France"
"Kelly Buchanan","Senior Vice-President; Mergers and Acquisitions Integration Executive, Mastercard Europe Service Ltd, United Kingdom"
"Agnes Budzyn","Co-Founder and Managing Partner, SFI, USA"
"Yana Buhrer Tavanier","Founder and Director, Fine Acts, Bulgaria"
"Nilda Bullain","Vice-President, Operations, International Center for Not-for-Profit Law (ICNL), USA"
"Esteban Bullrich","Senator from Buenos Aires, National Congress of Argentina, Argentina"
"Jessica Burgner-Kahrs","Associate Professor, University of Toronto Mississauga, Canada"
"Sinéad Burke","Chief Executive Officer, Tilting The Lens, Ireland"
"Jane Burston","Executive Director, Clean Air Fund, United Kingdom"
"Eugenio Burzaco","Secretary of Security, Ministry of Security of Argentina, Argentina"
"Peter Buttigieg","Secretary of Transportation, US Department of Transportation, USA"
Conversion Error
"Ãngel Cabrera","President, Georgia Institute of Technology (Georgia Tech), USA"
"David Wayne Callaway","Chief Medical Officer, Team Rubicon, USA"
"Kamissa Camara","Minister of Digital Economy and Forecasting, Ministry of Digital Economy, Information and Communication of Mali, Mali"
"Cristiano Câmara","Founding Partner, Vitis Capital Asset Management, Brazil"
"Luis Camargo","Founder and Director, Organizacion para la Educacion y Proteccion Ambiental (OpEPA), Colombia"
"Ailish Campbell","Ambassador of Canada to the European Union, Global Affairs Canada, Canada"
"Niko Canner","Founder, Incandescent, USA"
"Ron Cao","Founder and Managing Director, Sky9 Capital, People's Republic of China"
"Alfredo Capote","Co-Chief Executive Officer, Promecap (Fondo de Inversión Promotora Mexicana de Capitales), Mexico"
"Lisa Caputo","Executive Vice-President and Chief Marketing and Communications Officer, The Travelers Companies Inc., USA"
"Benedict Carandang","Vice-President, First Circle Growth Finance, Philippines"
"Adriana Cargill","Independent Radio Journalist, USA"
"Matthew Caruana Galizia","Director, Daphne Caruana Galizia Foundation, Malta"
"Wences Casares","Chief Executive Officer, Xapo Holdings Limited, USA"
"Caroline Casey","Founder and Director, The Valuable 500, Ireland"
"Valerie Casey","Head of Design, Walmart, USA"
"Sercan Celebi","Co-Founder and President, Oy ve Otesi, Turkey"
"Jesús Cepeda","Founder and Executive Director, Onesmart Technology SA de CV, Mexico"
"Luis Felipe Cervantes Legorreta","Managing Director; Head, Mexico Office, General Atlantic, Mexico"
"Navin Chaddha","Managing Director, Mayfield, USA"
"Merieme Chadid","Explorer and Astronomer, Antarctica Research Station, France"
"Matthew Chamberlain","Chief Executive Officer, London Metal Exchange, United Kingdom"
"Cham Krasna","Chief Executive Officer, SOMA Group, Cambodia"
"François-Philippe Champagne","Minister of Innovation, Science and Industry, Innovation, Science and Economic Development Canada, Canada"
"Arvan Chan","Regional Vice-President, International and Corporate Operations, Centene, USA"
"Juliana Chan","Chief Executive Officer, Wildtype Media Group, Singapore"
"Pamela Chan","Global Head, BlackRock Alternative Solutions; Chief Investment Officer, BlackRock, USA"
"Subhashini Chandran","Managing Director, Xynteo Ltd, India"
"Suranga Chandratillake","General Partner, Balderton Capital, United Kingdom"
"Chang Seung-Joon","Chief Executive Officer, Maekyung Media Group, Republic of Korea"
"Patrick Chappatte","Editorial Cartoonist and Founder, Globe Cartoon, Switzerland"
"Jules Chappell","Chief Executive Officer, NM Impact, United Kingdom"
"Sandeep Chatterjee","Founder and Chief Executive Officer, Experantis, USA"
"James Chau","Host, The China Current, Hong Kong SAR, China"
"Nirvana Chaudhary","Managing Director, Chaudhary Group, Nepal"
"Valeri Chekheria","Chief Executive Officer, Adjara Group Hospitality, Georgia"
"Jane Marie Chen","Co-Founder and Chief Business Officer, Embrace Innovations, USA"
"Sarah Chen","Co-Founder and Managing Partner, The Billion Dollar Fund for Women, USA"
"Timothy Chen","CEO, VIA China; Head of Business Development VIA/HTC, HTC, Taiwan, China"
"Calvin Cheng","Chairman, Retech Technology Co., Singapore"
"Ming Yu Cheng","Professor of Economics; Director, Institute of Management and Leadership Development; Director, Division of Community and International Networking, Universiti Tunku Abdul Rahman, Malaysia"
"Serene Chen Huijing","Managing Director, Deutsche Bank, Singapore"
"Chen Man","Founder, Beijing Man Xiang Ya Tian Advertising Ltd, People's Republic of China"
"Chew-Seow Chien","Partner, Bain & Company, Singapore"
"Chew Shou Zi","Chief Executive Officer of Tiktok, ByteDance, Cayman Islands"
"Chheang Vannarith","President, Asian Vision Institute (AVI), Cambodia"
"Francesca Chia","Co-Founder and Chief Executive Officer, GoGet, Malaysia"
"Calvin Chin","Managing Partner, E14 Fund, USA"
"Geraldine Chin Moody","Director and Co-Founder, 5HVC Capital, Australia"
"James Chin Moody","Chief Executive Officer, Sendle LLC, Australia"
"Mitsuru Claire Chino","President and Chief Executive Officer, Itochu International Inc., USA"
"Sharmeen Obaid Chinoy","Chief Executive Officer, SOC Films, Pakistan"
"Cassandra Chiu","Founder and Psychotherapist, The Safe Harbour Counselling Centre, Singapore"
"H. S. Cho","Vice Chairman, Hyosung Group, Republic of Korea"
"Calvin Choi","Chairman and Chief Executive Officer, AMTD, Hong Kong SAR, China"
"Rohit Chopra","Commissioner, Federal Trade Commission, USA"
"Tejpreet Singh Chopra","Founder and Chief Executive Officer, Bharat Light & Power (BLP), India"
"Sangeet Paul Choudary","Founder, Platformation Labs, Singapore"
"David Chubak","Head, Global Retail Bank and Consumer Lending, Citibank NA, USA"
"Ganhuyag Chuluun Hutagt","Chief Executive Officer, Ard Holdings, Mongolia"
"Nami Chung","Director, Asan Nanum Foundation, Republic of Korea"
"Abdourahmane Cissé","Secretary General in the Presidency, Office of the President of Côte d'Ivoire, Côte d'Ivoire"
"Roksana Ciurysek-Gedir","Founder, PossibleX, United Kingdom"
"Marcelo Claure","Chief Executive Officer, SoftBank Group International, USA"
"Patricia Cobian","Chief Financial Officer, Telefónica UK, United Kingdom"
"Andrew Cohen","Executive Chairman, J.P. Morgan Global Wealth Management, United Kingdom"
"Jared Cohen","Founder and Chief Executive Officer, Jigsaw, USA"
"Francesca Colombo","Managing and Cultural Park Director, Coima - Fondazione Riccardo Catella, Italy"
"Veronica Colondam","Founder and Chief Executive Officer, YCAB Foundation, Indonesia"
"Arturo Condo","President, EARTH University, Costa Rica"
"Silvia Console Battilana","Visiting Scholar, Stanford University, USA"
"Lucy Cooper","Managing Director; Head, Innovation, Europe, Accenture, United Kingdom"
"Jennifer Corriero","Co-Founder and Executive Director, TakingITGlobal, Canada"
"Clayton Cosgrove","Director, Cosgrove & Partners Ltd, New Zealand"
"Hilary Cottam","Social Entrepreneur, Centre for the Fifth Social Revolution, United Kingdom"
"Thomas Crampton","Head, Corporate Affairs, Greenlight Biosciences Inc, USA"
"Molly Crockett","Assistant Professor of Psychology, Yale University, USA"
"Alexis Crow","Global Head, Geopolitical Investing, PwC, USA"
"Thomas Crowther","Assistant Professor of Global Ecosystem Ecology, ETH Zurich, Switzerland"
"Idalia Cruz Garza","Director, Strategy, Media, TV Azteca S.A.B de C.V., Mexico"
"Nighat Dad","Founder and Executive Director, Digital Rights Foundation, Pakistan"
"Komal Dadlani","Chief Executive Officer, Lab4U, Chile"
"Sofana Rabea Dahlan","Founder and Managing Partner, Sofana Rabea Dahlan Law Firm, Saudi Arabia"
"Mehmet Gürcan Daimagüler","Special Adviser, Tropical General Investments Group, Germany"
"Rose Damen","Managing Director, Damen Yachting, Netherlands"
"Akim Daouda","Chief Investment Officer, Gabonese Sovereign Wealth Fund (FGIS), Gabon"
"Bernice Dapaah","Chief Executive Officer, Ghana Bamboo Bikes, Ghana"
"Lucy d'Arville","Partner, Bain International Inc., Australia"
"Patricia Ellen da Silva","Secretary of Economic Development, Government of the State of São Paulo, Brazil"
"Vera Daves de Sousa","Minister of Finance, Ministry of Finance of Angola, Angola"
"Martyn Davies","Managing Director, Emerging Markets and Africa, Deloitte & Touche, South Africa"
"Geoff Davis","Chief Executive Officer and Managing Partner, Cicero Impact Capital, USA"
"Eric Dayton","Co-Founder & CEO, Askov Finlayson, USA"
"Alberto de Belaunde","Congressman, Congress of Peru, Peru"
"Daniel de Boer","Chief Executive Officer, ProQR Therapeutics N.V., Netherlands"
"H.R.H. Prince Jaime de Bourbon de Parme","Senior Adviser, Private Sector Partnerships, United Nations High Commissioner for Refugees (UNHCR), Switzerland"
"Alexander de Carvalho","Co-Founder and Chief Investment Officer, Public Group International Limited, United Kingdom"
"Anne-Laure de Chammard","Group Chief Strategy and Innovation Officer, ENGIE Group, France"
"Alexander De Croo","Prime Minister of Belgium, Office of the Prime Minister of Belgium, Belgium"
"FX de de Mallmann","Chairman, Investment Banking Division, Goldman Sachs International, United Kingdom"
"Carlos de Hart","Chief Executive Officer, Agroince, Colombia"
"Sangu Delle","Chairman and Chief Executive Officer, Africa Health Holdings, Ghana"
"Deshal De Mel","Economic Adviser to the Minister of Finance, Ministry of Finance Sri Lanka, Sri Lanka"
"M. Bilge Demirkoz","Professor, Department of Physics, Middle East Technical University, Turkey"
"Alfa Demmellash","Co-Founder and Chief Executive Officer, Rising Tide Capital, USA"
"Amélie de Montchalin","Minister of Public Sector Transformation and the Civil Service, Ministry of Public Sector Transformation and the Civil Service, France"
"Gila Demri Gamliel","Minister of Environmental Protection, Ministry of Environmental Protection of Israel, Israel"
"Aslihan Denizkurdu","Managing Director, Chief Operating Officer of Risk Management, Citigroup, USA"
"Ozlem Denizmen","Head, Social Investments, Dogus Group, Turkey"
"David de Rothschild","Founder, The Lost Explorer LTD, USA"
"Matias De Tezanos","CEO, PeopleFund, USA"
"Kanika Dewan","Group President, M/S.BRAMCO W.L.L, India"
"Leslie Dewan","Founder, Criticality Capital, USA"
"Rajeeb Dey","Founder and Chief Executive Officer, Learnerbly, United Kingdom"
"Eva Dichand","Editor, Heute, Austria"
"Diskul Dispanadda","Chief Executive Officer, Doi Tung Development Project, Thailand"
"Kirill Dmitriev","Chief Executive Officer, Russian Direct Investment Fund, Russian Federation"
"Nobuo Domae","Senior Managing Director, Ryohin Keikaku Co. Ltd, Japan"
"Ugyen Dorji","Minister of Labour and Human Resources, Ministry of Labour and Human Resources of Bhutan, Bhutan"
"Ismail Douiri","Co-Chief Executive Officer, Attijariwafa Bank, Morocco"
"Kathryn Dovey","Executive Director, Open For Business, France"
"Michael Drexler","Chief Strategy Officer, Brightstar Capital Partners, USA"
"Dave Duarte","Founder, Treeshake, South Africa"
"Tanya Dubash","Executive Director and Chief Brand Officer, Godrej Industries, India"
"Miroslava Duma","Chief Executive Officer and Founder, Future Tech Lab, Russian Federation"
"Imani Duncan-Price","Chief of Staff, Office of the Opposition Leader, Jamaica"
"Joy Dunn","Head, Manufacturing, Commonwealth Fusion Systems, USA"
"Niall Dunne","Chief Executive Officer, polymateria, United Kingdom"
"Anton du Plessis","Executive Director, Institute for Security Studies (ISS), South Africa"
"Xavier Duportet","Chief Executive Officer, Eligo Bioscience, France"
"John Dutton","Head, Uplink; Member of the Executive Committee, World Economic Forum, Switzerland"
"Sophal Ear","Council Member, Crescenta Valley Town Council, USA"
"Salimah Yvette Ebrahim","Co-Founder, Artery, USA"
"Jamil Edmond Anderlini","Asia Editor, The Financial Times, Hong Kong SAR, China"
"Suzanne Ehlers","Chief Executive Officer, Malala Fund, USA"
"Hassan El Houry","Chief Executive Officer, National Aviation Services (NAS), Kuwait"
"Samuel Elia","Programme Officer, Edmond J. Safra Foundation, Switzerland"
"Olafur Eliasson","Artist, Studio Olafur Eliasson GmbH, Germany"
"Jennifer Elisseeff","Professor, Johns Hopkins University, USA"
"Rana El Kaliouby","Co-Founder and Chief Executive Officer, Affectiva, USA"
"Hisham El-Khazindar","Co-Founder and Managing Director, Qalaa Holdings, Egypt"
"Brooke Ellison","Associate Professor, Stony Brook University, USA"
"Nima Elmi","Member of the Board, Give Legacy, USA"
"Abasi Ene-Obong","Chief Executive Officer and Founder, 54gene, USA"
"Paula Escobar Chavarría","Opinion Columnist, La Tercera, Chile"
"Marcela Escobari","Senior Fellow, Brookings Institution, USA"
"Julio Estrada","Director, Desarrollos Palo Blanco, Guatemala"
"Darys Estrella","Vice-President, Corporate Sustainability, INICIA, Dominican Republic"
"Reem Fadda","Director, Cultural Foundation, Abu Dhabi Department of Culture and Tourism, United Arab Emirates"
"Mouhamed Moustapha Fall","Chair, African Institute for Mathematical Sciences, Senegal"
"Karen Fang","Managing Director; Global Head, Sustainable Finance, Bank of America Merrill Lynch, USA"
"Fan Ling","Founder and Chief Executive Officer, Tezign, People's Republic of China"
"El Seed Faouzi","Artist & Founder, El Seed Studio, Tunisia"
"Fawaz Farooqui","Chief Advisor to the Minister, Ministry of Culture of Saudi Arabia, Saudi Arabia"
"Joelle Faulkner","President and Chief Executive Officer, Area One Farms, Canada"
"Michael Faye","Chief Executive Officer, GiveDirectly, USA"
"Rayan Fayez","Managing Director and Chief Executive Officer, Banque Saudi Fransi (BSF), Saudi Arabia"
"Tara Fela-Durotoye","Founder and Chief Executive Officer, House of Tara International, Nigeria"
"Valerie Feldmann","Vice-President, Strategy, Verizon Communications, USA"
"Rio Ferdinand","Presenter, BT Group, United Kingdom"
